block,slot_id,sensor_id
A,A1,5f8972c6fc13ae2bb0000898
A,A2,5f8972c6fc13ae2bb0000899
A,A3,5f8972c6fc13ae2bb000089a
A,A4,5f8972c6fc13ae2bb000089b
A,A5,5f8972c6fc13ae2bb000089c
A,A6,5f8972c6fc13ae2bb000089d
A,A7,5f8972c6fc13ae2bb000089e
A,A8,5f8972c6fc13ae2bb000089f
A,A9,5f8972c6fc13ae2bb00008a0
A,A10,5f8972c6fc13ae2bb00008a1
A,A11,5f8972c6fc13ae2bb00008a2
A,A12,5f8972c6fc13ae2bb00008a3
A,A13,5f8972c6fc13ae2bb00008a4
A,A14,5f8972c6fc13ae2bb00008a5
A,A15,5f8972c6fc13ae2bb00008a6
A,A16,5f8972c6fc13ae2bb00008a7
A,A17,5f8972c6fc13ae2bb00008a8
A,A18,5f8972c6fc13ae2bb00008a9
A,A19,5f8972c6fc13ae2bb00008aa
A,A20,5f8972c6fc13ae2bb00008ab
A,A21,5f8972c6fc13ae2bb00008ac
A,A22,5f8972c6fc13ae2bb00008ad
A,A23,5f8972c6fc13ae2bb00008ae
A,A24,5f8972c6fc13ae2bb00008af
A,A25,5f8972c6fc13ae2bb00008b0
A,A26,5f8972c6fc13ae2bb00008b1
A,A27,5f8972c6fc13ae2bb00008b2
A,A28,5f8972c6fc13ae2bb00008b3
A,A29,5f8972c6fc13ae2bb00008b4
A,A30,5f8972c6fc13ae2bb00008b5
A,A31,5f8972c6fc13ae2bb00008b6
A,A32,5f8972c6fc13ae2bb00008b7
A,A33,5f8972c6fc13ae2bb00008b8
A,A34,5f8972c6fc13ae2bb00008b9
A,A35,5f8972c6fc13ae2bb00008ba
A,A36,5f8972c6fc13ae2bb00008bb
A,A37,5f8972c6fc13ae2bb00008bc
A,A38,5f8972c6fc13ae2bb00008bd
A,A39,5f8972c6fc13ae2bb00008be
A,A40,5f8972c6fc13ae2bb00008bf
B,B1,5f8972c6fc13ae2bb00008c0
B,B2,5f8972c6fc13ae2bb00008c1
B,B3,5f8972c6fc13ae2bb00008c2
B,B4,5f8972c6fc13ae2bb00008c3
B,B5,5f8972c6fc13ae2bb00008c4
B,B6,5f8972c6fc13ae2bb00008c5
B,B7,5f8972c6fc13ae2bb00008c6
B,B8,5f8972c6fc13ae2bb00008c7
B,B9,5f8972c6fc13ae2bb00008c8
B,B10,5f8972c6fc13ae2bb00008c9
B,B11,5f8972c6fc13ae2bb00008ca
B,B12,5f8972c6fc13ae2bb00008cb
B,B13,5f8972c6fc13ae2bb00008cc
B,B14,5f8972c6fc13ae2bb00008cd
B,B15,5f8972c6fc13ae2bb00008ce
B,B16,5f8972c6fc13ae2bb00008cf
B,B17,5f8972c6fc13ae2bb00008d0
B,B18,5f8972c6fc13ae2bb00008d1
B,B19,5f8972c6fc13ae2bb00008d2
B,B20,5f8972c6fc13ae2bb00008d3
B,B21,5f8972c6fc13ae2bb00008d4
B,B22,5f8972c6fc13ae2bb00008d5
B,B23,5f8972c6fc13ae2bb00008d6
B,B24,5f8972c6fc13ae2bb00008d7
B,B25,5f8972c6fc13ae2bb00008d8
B,B26,5f8972c6fc13ae2bb00008d9
B,B27,5f8972c6fc13ae2bb00008da
B,B28,5f8972c6fc13ae2bb00008db
B,B29,5f8972c6fc13ae2bb00008dc
B,B30,5f8972c6fc13ae2bb00008dd
B,B31,5f8972c6fc13ae2bb00008de
B,B32,5f8972c6fc13ae2bb00008df
B,B33,5f8972c6fc13ae2bb00008e0
B,B34,5f8972c6fc13ae2bb00008e1
B,B35,5f8972c6fc13ae2bb00008e2
B,B36,5f8972c6fc13ae2bb00008e3
B,B37,5f8972c6fc13ae2bb00008e4
B,B38,5f8972c6fc13ae2bb00008e5
B,B39,5f8972c6fc13ae2bb00008e6
B,B40,5f8972c6fc13ae2bb00008e7
C,C1,5f8972c6fc13ae2bb00008e8
C,C2,5f8972c6fc13ae2bb00008e9
C,C3,5f8972c6fc13ae2bb00008ea
C,C4,5f8972c6fc13ae2bb00008eb
C,C5,5f8972c6fc13ae2bb00008ec
C,C6,5f8972c6fc13ae2bb00008ed
C,C7,5f8972c6fc13ae2bb00008ee
C,C8,5f8972c6fc13ae2bb00008ef
C,C9,5f8972c6fc13ae2bb00008f0
C,C10,5f8972c6fc13ae2bb00008f1
C,C11,5f8972c6fc13ae2bb00008f2
C,C12,5f8972c6fc13ae2bb00008f3
C,C13,5f8972c6fc13ae2bb00008f4
C,C14,5f8972c6fc13ae2bb00008f5
C,C15,5f8972c6fc13ae2bb00008f6
C,C16,5f8972c6fc13ae2bb00008f7
C,C17,5f8972c6fc13ae2bb00008f8
C,C18,5f8972c6fc13ae2bb00008f9
C,C19,5f8972c6fc13ae2bb00008fa
C,C20,5f8972c6fc13ae2bb00008fb
C,C21,5f8972c6fc13ae2bb00008fc
C,C22,5f8972c6fc13ae2bb00008fd
C,C23,5f8972c6fc13ae2bb00008fe
C,C24,5f8972c6fc13ae2bb00008ff
C,C25,5f8972c6fc13ae2bb0000900
C,C26,5f8972c6fc13ae2bb0000901
C,C27,5f8972c6fc13ae2bb0000902
C,C28,5f8972c6fc13ae2bb0000903
C,C29,5f8972c6fc13ae2bb0000904
C,C30,5f8972c6fc13ae2bb0000905
C,C31,5f8972c6fc13ae2bb0000906
C,C32,5f8972c6fc13ae2bb0000907
C,C33,5f8972c6fc13ae2bb0000908
C,C34,5f8972c6fc13ae2bb0000909
C,C35,5f8972c6fc13ae2bb000090a
C,C36,5f8972c6fc13ae2bb000090b
C,C37,5f8972c6fc13ae2bb000090c
C,C38,5f8972c6fc13ae2bb000090d
C,C39,5f8972c6fc13ae2bb000090e
C,C40,5f8972c6fc13ae2bb000090f
D,D1,5f8972c6fc13ae2bb0000910
D,D2,5f8972c6fc13ae2bb0000911
D,D3,5f8972c6fc13ae2bb0000912
D,D4,5f8972c6fc13ae2bb0000913
D,D5,5f8972c6fc13ae2bb0000914
D,D6,5f8972c6fc13ae2bb0000915
D,D7,5f8972c6fc13ae2bb0000916
D,D8,5f8972c6fc13ae2bb0000917
D,D9,5f8972c6fc13ae2bb0000918
D,D10,5f8972c6fc13ae2bb0000919
D,D11,5f8972c6fc13ae2bb000091a
D,D12,5f8972c6fc13ae2bb000091b
D,D13,5f8972c6fc13ae2bb000091c
D,D14,5f8972c6fc13ae2bb000091d
D,D15,5f8972c6fc13ae2bb000091e
D,D16,5f8972c6fc13ae2bb000091f
D,D17,5f8972c6fc13ae2bb0000920
D,D18,5f8972c6fc13ae2bb0000921
D,D19,5f8972c6fc13ae2bb0000922
D,D20,5f8972c6fc13ae2bb0000923
D,D21,5f8972c6fc13ae2bb0000924
D,D22,5f8972c6fc13ae2bb0000925
D,D23,5f8972c6fc13ae2bb0000926
D,D24,5f8972c6fc13ae2bb0000927
D,D25,5f8972c6fc13ae2bb0000928
D,D26,5f8972c6fc13ae2bb0000929
D,D27,5f8972c6fc13ae2bb000092a
D,D28,5f8972c6fc13ae2bb000092b
D,D29,5f8972c6fc13ae2bb000092c
D,D30,5f8972c6fc13ae2bb000092d
D,D31,5f8972c6fc13ae2bb000092e
D,D32,5f8972c6fc13ae2bb000092f
D,D33,5f8972c6fc13ae2bb0000930
D,D34,5f8972c6fc13ae2bb0000931
D,D35,5f8972c6fc13ae2bb0000932
D,D36,5f8972c6fc13ae2bb0000933
D,D37,5f8972c6fc13ae2bb0000934
D,D38,5f8972c6fc13ae2bb0000935
D,D39,5f8972c6fc13ae2bb0000936
D,D40,5f8972c6fc13ae2bb0000937
E,E1,5f8972c6fc13ae2bb0000938
E,E2,5f8972c6fc13ae2bb0000939
E,E3,5f8972c6fc13ae2bb000093a
E,E4,5f8972c6fc13ae2bb000093b
E,E5,5f8972c6fc13ae2bb000093c
E,E6,5f8972c6fc13ae2bb000093d
E,E7,5f8972c6fc13ae2bb000093e
E,E8,5f8972c6fc13ae2bb000093f
E,E9,5f8972c6fc13ae2bb0000940
E,E10,5f8972c6fc13ae2bb0000941
E,E11,5f8972c6fc13ae2bb0000942
E,E12,5f8972c6fc13ae2bb0000943
E,E13,5f8972c6fc13ae2bb0000944
E,E14,5f8972c6fc13ae2bb0000945
E,E15,5f8972c6fc13ae2bb0000946
E,E16,5f8972c6fc13ae2bb0000947
E,E17,5f8972c6fc13ae2bb0000948
E,E18,5f8972c6fc13ae2bb0000949
E,E19,5f8972c6fc13ae2bb000094a
E,E20,5f8972c6fc13ae2bb000094b
E,E21,5f8972c6fc13ae2bb000094c
E,E22,5f8972c6fc13ae2bb000094d
E,E23,5f8972c6fc13ae2bb000094e
E,E24,5f8972c6fc13ae2bb000094f
E,E25,5f8972c6fc13ae2bb0000950
E,E26,5f8972c6fc13ae2bb0000951
E,E27,5f8972c6fc13ae2bb0000952
E,E28,5f8972c6fc13ae2bb0000953
E,E29,5f8972c6fc13ae2bb0000954
E,E30,5f8972c6fc13ae2bb0000955
E,E31,5f8972c6fc13ae2bb0000956
E,E32,5f8972c6fc13ae2bb0000957
E,E33,5f8972c6fc13ae2bb0000958
E,E34,5f8972c6fc13ae2bb0000959
E,E35,5f8972c6fc13ae2bb000095a
E,E36,5f8972c6fc13ae2bb000095b
E,E37,5f8972c6fc13ae2bb000095c
E,E38,5f8972c6fc13ae2bb000095d
E,E39,5f8972c6fc13ae2bb000095e
E,E40,5f8972c6fc13ae2bb000095f
F,F1,5f8972c6fc13ae2bb0000960
